Start Time,Stop Time,Start Station Name,End Station Name,Bike ID,User Type,Gender,Birth Year
9/21/15 17:17,9/21/15 17:27,Newport PATH,City Hall,24444,Subscriber,1,1990
9/21/15 17:18,9/21/15 17:36,Baldwin at Montgomery,McGinley Square,24489,Subscriber,1,1981
9/21/15 17:18,9/21/15 17:24,Exchange Place,Grove St PATH,24442,Subscriber,1,1984
9/21/15 17:18,9/21/15 17:23,Exchange Place,City Hall,24521,Subscriber,2,1983
9/21/15 17:24,9/21/15 17:26,Exchange Place,Paulus Hook,24391,Subscriber,1,1977
9/21/15 17:25,9/21/15 17:44,Newport PATH,Exchange Place,24445,Customer,0,
9/21/15 17:26,9/22/15 17:49,5 Corners Library,Dey St,24432,Customer,0,
9/21/15 17:29,9/21/15 17:34,Exchange Place,City Hall,24488,Subscriber,1,1962
9/21/15 17:29,9/21/15 17:34,Exchange Place,City Hall,24450,Subscriber,2,1960
9/21/15 17:30,9/21/15 18:45,Exchange Place,Van Vorst Park,24499,Customer,0,
9/21/15 17:30,9/21/15 17:37,Exchange Place,Grove St PATH,24713,Subscriber,1,1981
9/21/15 17:31,9/21/15 17:41,Exchange Place,Grove St PATH,24482,Customer,0,
9/21/15 17:32,9/21/15 17:35,Exchange Place,Essex Light Rail,24717,Subscriber,1,1982
9/21/15 17:40,9/21/15 17:53,Grove St PATH,JC Medical Center,24478,Subscriber,1,1985
9/21/15 17:41,9/21/15 17:47,Grove St PATH,Brunswick St,24420,Subscriber,1,1988
9/21/15 17:46,9/21/15 17:47,Paulus Hook,Paulus Hook,24391,Subscriber,1,1985
9/21/15 17:48,9/21/15 17:58,Dey St,Sip Ave,24456,Subscriber,2,1986
9/21/15 17:49,9/21/15 18:05,Paulus Hook,Newark Ave,24391,Subscriber,2,1983
9/21/15 17:49,9/21/15 17:53,Exchange Place,Essex Light Rail,24486,Subscriber,1,1984
9/21/15 17:51,9/21/15 17:53,Paulus Hook,Exchange Place,24398,Subscriber,1,1975
9/21/15 17:53,9/21/15 18:03,Newport PATH,Brunswick St,24645,Subscriber,1,1989
9/21/15 17:53,9/21/15 17:56,Grove St PATH,Van Vorst Park,24574,Subscriber,2,1975
9/21/15 17:53,9/21/15 17:58,Grove St PATH,Hamilton Park,24677,Subscriber,1,1970
